"family","setting","frame","outcome","rmse","rmse_mcse","mean_bias","mean_absolute_bias","n","n_total"
"mixed_factor","NN=200;a=0","aug-d-balance (residual)","gsynth",0.0563113778218445,0.00244616315357437,0.00817911980297493,0.046653926948851,200,200
"mixed_factor","NN=200;a=0","aug-d-balance (residual)","ife",0.0559945491210736,0.00244462304184972,0.00840681279525787,0.0462889127538052,200,200
"mixed_factor","NN=200;a=0","aug-d-balance (residual)","MCPanel",0.119016057742685,0.00642518561343435,-0.000223010966935701,0.0962366413442628,200,200
"mixed_factor","NN=200;a=0","aug-d-balance (residual)","VAR",0.226999832762621,0.00986409262647062,0.00118570378718404,0.188281752852552,200,200
"mixed_factor","NN=200;a=0","d-balance","fe",0.0863295183459004,0.00423888751113716,0.00722712471124376,0.0696665210764026,200,200
"mixed_factor","NN=200;a=0","d-balance","gsynth",0.0863295183459004,0.00423888751113716,0.00722712471124376,0.0696665210764026,200,200
"mixed_factor","NN=200;a=0","d-balance","ife",0.0863295183459004,0.00423888751113716,0.00722712471124376,0.0696665210764026,200,200
"mixed_factor","NN=200;a=0","d-balance","MCPanel",0.0863295183459004,0.00423888751113716,0.00722712471124376,0.0696665210764026,200,200
"mixed_factor","NN=200;a=0","d-balance","VAR",0.0863295183459004,0.00423888751113716,0.00722712471124376,0.0696665210764026,200,200
"mixed_factor","NN=200;a=0","outcome","fe",0.398266766517199,0.0192095861527437,-0.0186801014159207,0.320027178649898,200,200
"mixed_factor","NN=200;a=0","outcome","gsynth",0.0563842679802684,0.00240997687366949,0.00768635533901781,0.046711429071978,200,200
"mixed_factor","NN=200;a=0","outcome","ife",0.0561154482055466,0.00240486123703778,0.00786115053748993,0.0464860409910568,200,200
"mixed_factor","NN=200;a=0","outcome","MCPanel",0.128490577350752,0.00690124234499484,-0.00111889954872001,0.10424998086175,200,200
"mixed_factor","NN=200;a=0","outcome","VAR",0.258823460404065,0.0113888780139848,0.00102632766500675,0.214057630595954,200,200
"mixed_factor","NN=200;a=0","u-balance","fe",0.0983827052478332,0.00534016186437622,0.00133315549448379,0.0796051722180237,200,200
"mixed_factor","NN=200;a=0","u-balance","gsynth",0.0983827052478332,0.00534016186437622,0.00133315549448379,0.0796051722180237,200,200
"mixed_factor","NN=200;a=0","u-balance","ife",0.0983827052478332,0.00534016186437622,0.00133315549448379,0.0796051722180237,200,200
"mixed_factor","NN=200;a=0","u-balance","MCPanel",0.0983827052478332,0.00534016186437622,0.00133315549448379,0.0796051722180237,200,200
"mixed_factor","NN=200;a=0","u-balance","VAR",0.0983827052478332,0.00534016186437622,0.00133315549448379,0.0796051722180237,200,200
"mixed_factor","NN=200;a=1","aug-d-balance","fe",1.79058352198836,0.0225323438903863,1.76242536523694,1.76242536523694,200,200
"mixed_factor","NN=200;a=1","aug-d-balance","gsynth",0.194838332023009,0.00787738968998152,0.133005399461047,0.162071894870942,200,200
"mixed_factor","NN=200;a=1","aug-d-balance","ife",0.162472506081637,0.00630728174934578,0.108724206446549,0.135656466222578,200,200
"mixed_factor","NN=200;a=1","aug-d-balance","MCPanel",1.22573875378056,0.0192594332789977,1.19556005411746,1.19556005411746,200,200
"mixed_factor","NN=200;a=1","aug-d-balance","VAR",0.403568341513179,0.0207615191913327,-0.0679066753099633,0.320904439431289,200,200
