"model","unit","period","counterfactual"
"VAR",8,8,4.52093487290103
"VAR",8,9,5.19422614411538
"VAR",9,0,0
"VAR",9,1,1.0342897964567
"VAR",9,2,1.26953761460747
"VAR",9,3,1.3397795498447
"VAR",9,4,1.94881246540838
"VAR",9,5,2.64253229914234
"VAR",9,6,3.74005723103666
"VAR",9,7,4.62497105414298
"VAR",9,8,5.30774232286375
"VAR",9,9,6.04771266249629
"VAR",10,0,0
"VAR",10,1,1.61919276350891
"VAR",10,2,2.1951503441918
"VAR",10,3,2.51213919351079
"VAR",10,4,2.60930448810665
"VAR",10,5,2.8661713094444
"VAR",10,6,3.66923222205888
"VAR",10,7,4.38046035656165
"VAR",10,8,4.9324321721027
"VAR",10,9,5.54277887627854
"VAR",11,0,0
"VAR",11,1,2.2566268587645
"VAR",11,2,3.10092715572849
"VAR",11,3,3.34716663573878
"VAR",11,4,3.24479638720433
"VAR",11,5,3.18537782184028
"VAR",11,6,3.58295665410372
"VAR",11,7,4.08279331896398
"VAR",11,8,4.48645510825952
"VAR",11,9,4.94982501467913
